iter	Passed	Remaining
0	93	13954
1	172	12881
2	261	12898
3	344	12678
4	425	12427
5	517	12509
6	608	12524
7	689	12325
8	785	12391
9	862	12159
10	949	12078
11	1043	12083
12	1123	11926
13	1196	11705
14	1277	11586
15	1352	11407
16	1442	11367
17	1534	11339
18	1617	11236
19	1707	11185
20	1789	11080
21	1872	10978
22	1959	10907
23	2038	10784
24	2121	10694
25	2206	10605
26	2278	10465
27	2359	10366
28	2435	10245
29	2530	10206
30	2613	10118
31	2705	10060
32	2786	9962
33	2865	9860
34	2953	9788
35	3022	9656
36	3099	9549
37	3189	9484
38	3281	9423
39	3346	9286
40	3429	9202
41	3512	9115
42	3616	9084
43	3723	9055
44	3808	8969
45	3886	8871
46	3948	8737
47	4014	8614
48	4113	8561
49	4189	8461
50	4258	8349
51	4346	8275
52	4415	8164
53	4499	8081
54	4587	8006
55	4658	7902
56	4745	7826
57	4820	7729
58	4906	7650
59	4980	7554
60	5051	7453
61	5128	7361
62	5217	7288
63	5286	7186
64	5379	7117
65	5463	7036
66	5554	6964
67	5641	6885
68	5721	6799
69	5813	6727
70	5915	6665
71	6014	6599
72	6092	6509
73	6164	6414
74	6251	6334
75	6332	6248
76	6411	6161
77	6489	6073
78	6571	5989
79	6645	5897
80	6721	5808
81	6803	5724
82	6867	5626
83	6941	5536
84	7017	5449
85	7089	5358
86	7168	5273
87	7236	5180
88	7303	5087
89	7379	5001
90	7468	4924
91	7537	4833
92	7612	4747
93	7684	4659
94	7743	4564
95	7801	4469
96	7872	4382
97	7955	4302
98	8030	4218
99	8109	4135
100	8179	4049
101	8232	3955
102	8310	3872
103	8381	3787
104	8459	3705
105	8529	3621
106	8611	3540
107	8681	3456
108	8746	3370
109	8821	3288
110	8873	3197
111	8932	3110
112	8984	3021
113	9036	2933
114	9097	2847
115	9155	2762
116	9210	2676
117	9266	2591
118	9321	2506
119	9380	2423
120	9429	2337
121	9483	2254
122	9551	2174
123	9604	2091
124	9654	2008
125	9700	1924
126	9754	1843
127	9813	1763
128	9873	1683
129	9919	1602
130	9973	1522
131	10025	1443
132	10082	1364
133	10142	1286
134	10220	1211
135	10281	1133
136	10351	1057
137	10417	981
138	10477	904
139	10537	136	140	10583	7137141	10635	6713142	10693	5981143	10754	522
144	10814	447
145	10880	372
14142	12667	13147143	12724	1148	144	12794	149	1145	1285150	111146	12925	967
147	12982	877
148	13045	787
149	13097	698
150	13151	609
151	13208	521
152	13261	433
153	13316	345
154	13369	258
155	13419	172
156	13463	85
157	13514	0
